coin,Date,Open,High,Low,Close,Volume,VWAP,TWAP
Bitcoin,2018-01-08,16903.61336759,16932.01880036,14884.92772903,15716.96366289,400426.69627568,15970.43471621,16063.90956775
Bitcoin,2018-01-07,18061.69590837,18061.69590837,16608.55288597,16899.36641243,227280.74940512,17367.4508187,17345.21713306
Bitcoin,2018-01-06,17982.55354725,18140.49170013,17261.727195,18063.60911189,292739.03251156,17700.86333639,17705.39887556
Bitcoin,2018-01-05,15864.98635628,18195.17358429,15681.81987655,17972.54392154,415004.98196874,16763.89168439,16706.26495914
Bitcoin,2018-01-04,15580.54455555,15894.405597100002,15048.09445129,15854.35007415,343297.2588932,15467.80584226,15469.79684945
Bitcoin,2018-01-03,15282.71522162,15946.08474418,15211.28999496,15525.38225143,282855.42241471,15520.37325974,15520.77823401
Bitcoin,2018-01-02,14098.89475581,15663.29999011,13762.1458033,15299.54747616,344679.62682207,14516.37020478,14455.87795033
Bitcoin,2018-01-01,14505.89476724,14505.89476724,13617.45963308,14092.74282453,225906.21427446,14103.17809717,14093.73446896
Bitcoin,2017-12-31,13122.66446794,14774.27813777,13005.67298496,14486.87439918,307453.78366897,13817.91221463,13860.48233819
Bitcoin,2017-12-30,15062.01852258,15093.21017554,12784.90820308,13234.82233343,418844.39815765,13798.64356815,13848.17052548
Bitcoin,2017-12-29,14960.8936688,15520.84018455,14701.79108635,15083.14898759,290846.14572055,15084.01431297,15080.89257507
Bitcoin,2017-12-28,16071.54260155,16093.70942825,14253.30876932,14894.76327856,435715.83635828,14833.80511685,14858.49206651
Bitcoin,2017-12-27,16497.09779159,17302.53587299,15428.19619745,16062.60564623,364239.93216257,16390.88303867,16384.74902969
Bitcoin,2017-12-26,14275.05526201,16761.53071236,14249.43014396,16473.0758855,384127.62260805,15865.51823828,15773.26509837
Bitcoin,2017-12-25,14190.77091991,14798.37743614,13710.89628471,14301.115421,270343.2979569,14247.629830700002,14260.12929924
Bitcoin,2017-12-24,14948.28029061,14948.28029061,12965.96661746,14136.18014335,424704.92299211,13978.22652143,13993.80475813
Bitcoin,2017-12-23,14214.04901756,15792.80269803,14174.85791697,14864.91034959,392950.9001974001,14964.11944712,15067.58930056
Bitcoin,2017-12-22,16266.93843492,16403.933950100003,11846.52476518,14131.16931542,1002122.88827962,14168.1806273,14280.70778253
Bitcoin,2017-12-21,16975.87983742,17781.20823332,15647.98296372,16153.51507014,409548.41402390006,16777.28544076,16781.57031333
Bitcoin,2017-12-20,18099.1965909,18225.39665252,16394.81916684,16954.44156338,517455.65400039,17324.31308525,17325.02958718
Bitcoin,2017-12-19,19185.51647193,19363.89085062,17589.25760233,18084.83027801,401118.85138671,18669.78014712,18717.81106364
Bitcoin,2017-12-18,19364.27416385,19476.31287866,18426.88390454,19176.513110699998,340666.73846152,19043.06093916,19042.63741164
